Precinct,Registered_Voters,Absentee_TaylorRehmet,Early_TaylorRehmet,Election_TaylorRehmet,TotalVotes_TaylorRehmet,Absentee_LeighWambsganss,Early_LeighWambsganss,Election_LeighWambsganss,TotalVotes_LeighWambsganss,TotalVotesAll,VTD,CountyFIPS,County,CNTY,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap,Winner,pct_hisp,Rehmet_Pct,Wambsganss_Pct,Vote_Margin_Pct,pct_nonwhite
1001,1940,3,99,98,200,1,43,45,89,289,1001,439,TARRANT,439,2201001,7895,2240,1367,873,98,377,341,702,2026,1302,724,86,306,276,571,Taylor Rehmet,0.15223214285714284,69.20415224913495,30.79584775086505,38.4083044982699,0.38973214285714286
1005,942,3,21,51,75,0,1,2,3,78,1005,439,TARRANT,439,2201005,7897,1471,65,1406,20,791,595,1378,1037,56,981,17,578,381,955,Taylor Rehmet,0.4044867437117607,96.15384615384616,3.8461538461538463,92.30769230769232,0.95581237253569
1008,314,1,12,24,37,0,0,6,6,43,1008,439,TARRANT,439,2201008,7898,589,40,549,10,184,356,536,421,38,383,7,147,227,371,Taylor Rehmet,0.6044142614601019,86.04651162790698,13.953488372093023,72.09302325581396,0.9320882852292021
1010,698,1,0,20,21,0,2,0,2,23,1010,439,TARRANT,439,2201010,7900,1424,271,1153,19,423,704,1109,1087,242,845,12,337,478,805,Taylor Rehmet,0.4943820224719101,91.30434782608695,8.695652173913043,82.6086956521739,0.8096910112359551
1011,1134,3,19,45,67,0,2,3,5,72,1011,439,TARRANT,439,2201011,7901,3175,211,2964,60,492,2422,2891,2255,195,2060,51,370,1634,1999,Taylor Rehmet,0.7628346456692914,93.05555555555556,6.944444444444445,86.11111111111111,0.9335433070866141
1015,1188,3,68,72,143,0,3,15,18,161,1015,439,TARRANT,439,2201015,7905,2077,699,1378,68,112,1173,1269,1687,623,1064,60,83,900,976,Taylor Rehmet,0.5647568608570053,88.81987577639751,11.180124223602485,77.63975155279502,0.6634569090033703
1019,798,1,9,47,57,0,1,5,6,63,1019,439,TARRANT,439,2201019,7906,2162,265,1897,14,205,1669,1860,1524,224,1300,14,166,1110,1264,Taylor Rehmet,0.7719703977798335,90.47619047619048,9.523809523809524,80.95238095238096,0.8774283071230342
1056,1281,2,2,1,5,0,0,1,1,6,1056,439,TARRANT,439,2201056,7913,1771,610,1161,23,863,227,1074,1506,587,919,15,672,178,840,Taylor Rehmet,0.1281761716544325,83.33333333333334,16.666666666666664,66.66666666666669,0.655561829474873
1059,860,1,18,38,57,0,0,5,5,62,1059,439,TARRANT,439,2201059,7914,1572,175,1397,195,539,676,1197,1091,155,936,98,403,437,832,Taylor Rehmet,0.4300254452926209,91.93548387096774,8.064516129032258,83.87096774193549,0.888676844783715
1061,479,2,12,13,27,0,1,4,5,32,1061,439,TARRANT,439,2201061,7915,641,62,579,18,242,314,549,444,51,393,14,174,200,373,Taylor Rehmet,0.48985959438377535,84.375,15.625,68.75,0.9032761310452418
1062,25,0,1,4,5,0,0,1,1,6,1062,439,TARRANT,439,2201062,7916,24,18,6,1,0,5,5,20,18,2,0,0,2,2,Taylor Rehmet,0.20833333333333334,83.33333333333334,16.666666666666664,66.66666666666669,0.25
1064,0,0,0,0,0,0,0,0,0,0,1064,439,TARRANT,439,2201064,7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1066,985,2,29,49,80,0,5,14,19,99,1066,439,TARRANT,439,2201066,7918,2444,511,1933,66,497,1369,1843,1776,452,1324,55,381,879,1244,Taylor Rehmet,0.5601472995090017,80.8080808080808,19.19191919191919,61.61616161616161,0.7909165302782324
1075,1050,1,14,37,52,0,3,3,6,58,1075,439,TARRANT,439,2201075,7921,2626,260,2366,28,313,2021,2313,1859,219,1640,16,264,1364,1613,Taylor Rehmet,0.7696115765422696,89.65517241379311,10.344827586206897,79.31034482758622,0.900990099009901
1076,1107,9,146,162,317,0,29,55,84,401,1076,439,TARRANT,439,2201076,7922,1454,1133,321,49,104,150,249,1117,887,230,29,82,107,184,Taylor Rehmet,0.1031636863823934,79.05236907730672,20.947630922693268,58.10473815461346,0.22077028885832187
1082,684,2,31,43,76,0,4,9,13,89,1082,439,TARRANT,439,2201082,7927,1633,349,1284,66,90,1116,1194,1200,290,910,51,46,789,834,Taylor Rehmet,0.683404776484997,85.39325842696628,14.606741573033707,70.78651685393258,0.7862829148805879
1088,1357,1,18,50,69,0,9,6,15,84,1088,439,TARRANT,439,2201088,7931,3747,264,3483,36,456,2973,3411,2595,225,2370,28,341,1974,2306,Taylor Rehmet,0.7934347477982386,82.14285714285714,17.857142857142858,64.28571428571428,0.9295436349079264
1094,1743,4,76,145,225,0,17,21,38,263,1094,439,TARRANT,439,2201094,7934,3103,1266,1837,121,495,1185,1663,2595,1172,1423,108,379,888,1257,Taylor Rehmet,0.381888495004834,85.55133079847909,14.44866920152091,71.10266159695817,0.5920077344505318
1108,1724,6,152,198,356,3,37,98,138,494,1108,439,TARRANT,439,2201108,7942,2676,2058,618,119,96,353,446,2193,1733,460,95,77,250,324,Taylor Rehmet,0.13191330343796712,72.06477732793523,27.93522267206478,44.12955465587045,0.23094170403587444
1109,1611,3,48,107,158,1,10,21,32,190,1109,439,TARRANT,439,2201109,7943,3437,668,2769,117,185,2431,2609,2598,608,1990,92,147,1716,1857,Taylor Rehmet,0.70730288041897,83.15789473684211,16.842105263157894,66.31578947368422,0.8056444573756183
1111,4070,4,157,201,362,1,159,137,297,659,1111,439,TARRANT,439,2201111,7944,2522,1949,573,148,127,252,371,1736,1380,356,98,71,153,223,Taylor Rehmet,0.0999206978588422,54.93171471927162,45.068285280728375,9.863429438543243,0.22720063441712926
1146,2494,13,156,207,376,2,28,57,87,463,1146,439,TARRANT,439,2201146,7953,4050,1402,2648,141,1576,905,2420,3095,1221,1874,102,1130,603,1699,Taylor Rehmet,0.2234567901234568,81.20950323974083,18.790496760259177,62.41900647948165,0.6538271604938272
1151,1154,4,48,65,117,2,25,22,49,166,1151,439,TARRANT,439,2201151,7956,2565,687,1878,81,1365,411,1758,1916,598,1318,70,951,273,1220,Taylor Rehmet,0.16023391812865498,70.48192771084338,29.518072289156628,40.96385542168675,0.7321637426900585
1170,2841,16,182,207,405,5,49,47,101,506,1170,439,TARRANT,439,2201170,7961,5102,1598,3504,203,1239,2012,3198,3750,1386,2364,132,876,1289,2142,Taylor Rehmet,0.39435515484123873,80.03952569169961,19.960474308300398,60.07905138339921,0.6867894943159545
1175,2639,2,64,122,188,0,49,34,83,271,1175,439,TARRANT,439,2201175,7962,3312,1155,2157,784,689,632,1298,2397,891,1506,567,452,428,868,Taylor Rehmet,0.19082125603864733,69.37269372693727,30.627306273062732,38.74538745387454,0.6512681159420289
1197,2109,5,55,112,172,0,37,56,93,265,1197,439,TARRANT,439,2201197,7967,2924,1493,1431,482,425,477,878,2101,1084,1017,366,301,312,601,Taylor Rehmet,0.1631326949384405,64.90566037735849,35.094339622641506,29.81132075471698,0.4893980848153215
1198,595,0,10,27,37,0,0,8,8,45,1198,439,TARRANT,439,2201198,7968,1507,295,1212,73,54,1073,1125,1071,250,821,53,32,725,755,Taylor Rehmet,0.7120106171201062,82.22222222222221,17.77777777777778,64.44444444444443,0.8042468480424685
1199,435,3,21,28,52,1,34,21,56,108,1199,439,TARRANT,439,2201199,7969,424,288,136,22,46,55,101,369,261,108,19,44,35,79,Leigh Wambsganss,0.12971698113207547,48.148148148148145,51.85185185185185,-3.7037037037037024,0.32075471698113206
1206,2753,3,133,103,239,3,121,82,206,445,1206,439,TARRANT,439,2201206,7970,3937,2916,1021,71,128,691,806,3105,2427,678,51,83,434,512,Taylor Rehmet,0.17551435102870205,53.70786516853933,46.29213483146067,7.4157303370786565,0.25933451866903734
1208,2252,3,113,82,198,7,129,95,231,429,1208,439,TARRANT,439,2201208,7972,2649,2038,611,118,127,280,396,2055,1638,417,87,96,176,267,Leigh Wambsganss,0.10570026425066063,46.15384615384615,53.84615384615385,-7.692307692307693,0.23065307663269158
1227,1618,5,29,82,116,1,6,23,30,146,1227,439,TARRANT,439,2201227,7974,3169,611,2558,353,1622,608,2168,2263,497,1766,246,1120,412,1495,Taylor Rehmet,0.19185863048280213,79.45205479452055,20.54794520547945,58.9041095890411,0.8071946986431051
1236,601,5,48,80,133,2,16,18,36,169,1236,439,TARRANT,439,2201236,7975,1075,563,512,28,125,343,456,860,489,371,20,108,226,325,Taylor Rehmet,0.31906976744186044,78.69822485207101,21.301775147928996,57.396449704142015,0.4762790697674419
1277,1349,6,112,113,231,5,44,60,109,340,1277,439,TARRANT,439,2201277,7988,1943,992,951,81,523,301,810,1641,910,731,71,363,240,599,Taylor Rehmet,0.15491507977354607,67.94117647058823,32.05882352941177,35.882352941176464,0.4894493051981472
1337,2706,7,153,144,304,6,119,138,263,567,1337,439,TARRANT,439,2201337,8002,3264,2515,749,77,144,415,546,2605,2089,516,58,101,274,370,Taylor Rehmet,0.12714460784313725,53.61552028218695,46.38447971781305,7.231040564373899,0.22947303921568626
1376,110,0,0,0,0,0,2,0,2,2,1376,439,TARRANT,439,2201376,8011,4116,1779,2337,3,1601,767,2333,4086,1779,2307,3,1577,761,2303,Leigh Wambsganss,0.18634596695821184,0.0,100.0,-100.0,0.5677842565597667
1408,284,0,6,15,21,0,0,3,3,24,1408,439,TARRANT,439,2201408,8020,372,128,244,7,15,204,219,311,113,198,5,12,169,181,Taylor Rehmet,0.5483870967741935,87.5,12.5,75.0,0.6559139784946236
1415,1760,1,25,68,94,1,4,16,21,115,1415,439,TARRANT,439,2201415,8023,5020,545,4475,116,1609,2735,4283,3461,482,2979,85,1127,1713,2823,Taylor Rehmet,0.5448207171314741,81.73913043478261,18.26086956521739,63.47826086956522,0.8914342629482072
1416,156,2,20,15,37,0,6,12,18,55,1416,439,TARRANT,439,2201416,8024,228,117,111,4,17,91,105,181,102,79,2,13,65,75,Taylor Rehmet,0.3991228070175439,67.27272727272727,32.72727272727273,34.54545454545454,0.4868421052631579
1420,0,0,0,0,0,0,0,0,0,0,1420,439,TARRANT,439,2201420,8026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1430,11,0,1,1,2,0,0,0,0,2,1430,439,TARRANT,439,2201430,8030,28,4,24,3,7,14,21,21,2,19,1,7,11,18,Taylor Rehmet,0.5,100.0,0.0,100.0,0.8571428571428571
1434,0,0,0,0,0,0,0,0,0,0,1434,439,TARRANT,439,2201434,8032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1437,600,1,24,38,63,0,16,18,34,97,1437,439,TARRANT,439,2201437,8034,975,400,575,73,153,343,486,759,354,405,56,121,215,332,Taylor Rehmet,0.3517948717948718,64.94845360824742,35.051546391752574,29.896907216494846,0.5897435897435898
1455,0,0,0,0,0,0,0,0,0,0,1455,439,TARRANT,439,2201455,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1457,2,0,0,0,0,0,0,0,0,0,1457,439,TARRANT,439,2201457,8041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1460,2717,6,51,120,177,1,19,23,43,220,1460,439,TARRANT,439,2201460,8043,7568,1137,6431,233,4658,1531,6091,5579,1023,4556,178,3289,1065,4297,Taylor Rehmet,0.20229915433403806,80.45454545454545,19.545454545454547,60.90909090909091,0.849762156448203
1473,355,0,7,16,23,0,4,1,5,28,1473,439,TARRANT,439,2201473,8046,382,73,309,7,6,293,298,260,59,201,6,4,189,192,Taylor Rehmet,0.7670157068062827,82.14285714285714,17.857142857142858,64.28571428571428,0.8089005235602095
1476,150,0,4,10,14,0,0,0,0,14,1476,439,TARRANT,439,2201476,8047,360,61,299,4,16,282,294,247,57,190,2,12,175,185,Taylor Rehmet,0.7833333333333333,100.0,0.0,100.0,0.8305555555555556
1479,277,0,8,10,18,0,2,1,3,21,1479,439,TARRANT,439,2201479,8049,507,69,438,10,87,341,420,368,62,306,10,77,217,289,Taylor Rehmet,0.6725838264299803,85.71428571428571,14.285714285714285,71.42857142857142,0.863905325443787
1490,669,0,20,28,48,0,7,15,22,70,1490,439,TARRANT,439,2201490,8053,1377,369,1008,76,757,168,914,1058,316,742,63,550,127,666,Taylor Rehmet,0.12200435729847495,68.57142857142857,31.428571428571427,37.14285714285714,0.7320261437908496
1491,5,0,0,0,0,0,0,0,0,0,1491,439,TARRANT,439,2201491,8054,20,8,12,0,6,9,12,13,8,5,0,3,4,5,Tie,0.45,0,0,0,0.6
1544,11,0,0,0,0,0,0,0,0,0,1544,439,TARRANT,439,2201544,8061,26,5,21,0,0,20,20,23,5,18,0,0,17,17,Tie,0.7692307692307693,0,0,0,0.8076923076923077
1547,0,0,0,0,0,0,0,0,0,0,1547,439,TARRANT,439,2201547,8062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1549,0,0,0,0,0,0,0,0,0,0,1549,439,TARRANT,439,2201549,8063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1550,40,0,2,0,2,0,0,0,0,2,1550,439,TARRANT,439,2201550,8064,73,3,70,1,22,47,69,45,3,42,0,16,25,41,Taylor Rehmet,0.6438356164383562,100.0,0.0,100.0,0.958904109589041
1586,11,0,0,0,0,0,0,0,0,0,1586,439,TARRANT,439,2201586,8071,32,0,32,6,15,8,23,24,0,24,5,11,5,16,Tie,0.25,0,0,0,1.0
1589,298,0,9,16,25,0,1,6,7,32,1589,439,TARRANT,439,2201589,8072,377,169,208,69,87,53,135,317,155,162,49,76,38,112,Taylor Rehmet,0.14058355437665782,78.125,21.875,56.25,0.5517241379310345
1607,0,0,0,0,0,0,0,0,0,0,1607,439,TARRANT,439,2201607,8077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1608,889,3,115,183,301,2,17,67,86,387,1608,439,TARRANT,439,2201608,8078,1158,844,314,25,33,238,270,894,675,219,18,21,163,183,Taylor Rehmet,0.20552677029360966,77.77777777777779,22.22222222222222,55.555555555555564,0.2711571675302245
1610,37,0,0,5,5,0,0,3,3,8,1610,439,TARRANT,439,2201610,8079,74,34,40,4,10,26,36,47,23,24,4,10,10,20,Taylor Rehmet,0.35135135135135137,62.5,37.5,25.0,0.5405405405405406
1611,21,0,1,1,2,0,0,2,2,4,1611,439,TARRANT,439,2201611,8080,36,9,27,0,0,27,27,26,4,22,0,0,22,22,Tie,0.75,50.0,50.0,0.0,0.75
1617,40,0,2,3,5,0,0,2,2,7,1617,439,TARRANT,439,2201617,8081,88,28,60,0,3,48,51,68,26,42,0,2,31,33,Taylor Rehmet,0.5454545454545454,71.42857142857143,28.57142857142857,42.85714285714286,0.6818181818181818
1622,49,0,1,1,2,0,0,0,0,2,1622,439,TARRANT,439,2201622,8084,62,22,40,8,7,22,29,45,16,29,8,7,11,18,Taylor Rehmet,0.3548387096774194,100.0,0.0,100.0,0.6451612903225806
1623,1,0,0,0,0,0,0,0,0,0,1623,439,TARRANT,439,2201623,8085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1625,0,0,0,0,0,0,0,0,0,0,1625,439,TARRANT,439,2201625,8086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1633,31,0,0,4,4,0,0,2,2,6,1633,439,TARRANT,439,2201633,8089,75,31,44,0,0,41,41,66,28,38,0,0,38,38,Taylor Rehmet,0.5466666666666666,66.66666666666666,33.33333333333333,33.33333333333333,0.5866666666666667
1672,0,0,0,0,0,0,0,0,0,0,1672,439,TARRANT,439,2201672,8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1674,0,0,0,0,0,0,0,0,0,0,1674,439,TARRANT,439,2201674,8096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1677,266,0,14,21,35,0,1,0,1,36,1677,439,TARRANT,439,2201677,8098,347,239,108,16,24,67,89,335,231,104,14,22,63,85,Taylor Rehmet,0.1930835734870317,97.22222222222221,2.7777777777777777,94.44444444444444,0.3112391930835735
1678,13,0,0,1,1,0,0,0,0,1,1678,439,TARRANT,439,2201678,8099,76,13,63,5,11,49,58,50,12,38,2,8,29,35,Taylor Rehmet,0.6447368421052632,100.0,0.0,100.0,0.8289473684210527
1679,0,0,0,0,0,0,0,0,0,0,1679,439,TARRANT,439,2201679,8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,,0,0,0,
1684,465,0,38,49,87,0,10,9,19,106,1684,439,TARRANT,439,2201684,8101,633,411,222,17,14,189,197,506,370,136,13,5,116,119,Taylor Rehmet,0.2985781990521327,82.0754716981132,17.92452830188679,64.15094339622641,0.35071090047393366
1701,1297,0,46,89,135,0,15,24,39,174,1701,439,TARRANT,439,2201701,8102,2077,970,1107,335,334,379,695,1502,713,789,255,239,243,472,Taylor Rehmet,0.18247472315840155,77.58620689655173,22.413793103448278,55.17241379310345,0.5329802599903707
1714,4193,14,153,264,431,1,56,58,115,546,1714,439,TARRANT,439,2201714,8105,6552,1533,5019,336,2878,1803,4592,4878,1327,3551,259,2022,1196,3189,Taylor Rehmet,0.2751831501831502,78.93772893772893,21.062271062271062,57.87545787545787,0.7660256410256411
1719,3080,3,140,113,256,0,138,120,258,514,1719,439,TARRANT,439,2201719,8109,3917,2831,1086,171,286,536,793,2991,2223,768,134,201,363,540,Leigh Wambsganss,0.13683941792187898,49.80544747081712,50.19455252918288,-0.3891050583657574,0.2772529997447026
1722,525,0,18,27,45,1,5,14,20,65,1722,439,TARRANT,439,2201722,8110,626,246,380,35,177,160,336,463,193,270,17,127,114,241,Taylor Rehmet,0.25559105431309903,69.23076923076923,30.76923076923077,38.46153846153845,0.6070287539936102
1834,2219,3,56,64,123,0,84,72,156,279,1834,439,TARRANT,439,2201834,8123,2315,1653,662,34,84,475,540,1743,1293,450,30,53,299,345,Leigh Wambsganss,0.20518358531317496,44.086021505376344,55.91397849462365,-11.827956989247305,0.2859611231101512
1845,2157,4,94,158,256,0,49,63,112,368,1845,439,TARRANT,439,2201845,8125,3571,1745,1826,497,598,640,1216,2613,1348,1265,340,420,429,836,Taylor Rehmet,0.1792215065807897,69.56521739130434,30.434782608695656,39.13043478260869,0.5113413609633156
2026,2041,8,92,107,207,2,51,62,115,322,2026,439,TARRANT,439,2202026,8130,3059,1850,1209,77,250,828,1071,2476,1620,856,51,188,567,751,Taylor Rehmet,0.2706766917293233,64.28571428571429,35.714285714285715,28.571428571428577,0.39522719843085974
2052,2312,4,84,87,175,2,46,53,101,276,2052,439,TARRANT,439,2202052,8137,7856,2849,5007,2019,1620,1256,2844,7241,2671,4570,1878,1495,1091,2560,Taylor Rehmet,0.159877800407332,63.40579710144928,36.594202898550726,26.811594202898554,0.637347250509165
2058,41,0,0,4,4,0,0,0,0,4,2058,439,TARRANT,439,2202058,8139,62,34,28,5,5,17,22,49,29,20,5,5,9,14,Taylor Rehmet,0.27419354838709675,100.0,0.0,100.0,0.45161290322580644
2148,2802,3,48,57,108,1,11,24,36,144,2148,439,TARRANT,439,2202148,8146,8712,1268,7444,355,1679,5416,7010,6220,1110,5110,303,1239,3549,4758,Taylor Rehmet,0.6216712580348944,75.0,25.0,50.0,0.8544536271808999
2161,1836,4,24,59,87,1,14,21,36,123,2161,439,TARRANT,439,2202161,8148,4733,1739,2994,1016,1072,863,1904,4367,1634,2733,946,992,743,1716,Taylor Rehmet,0.18233678428058314,70.73170731707317,29.268292682926827,41.463414634146346,0.6325797591379675
2190,331,0,7,12,19,0,11,10,21,40,2190,439,TARRANT,439,2202190,8156,613,211,402,16,59,314,371,480,193,287,16,42,218,258,Leigh Wambsganss,0.5122349102773246,47.5,52.5,-5.0,0.6557911908646004
2228,2377,8,145,151,304,5,96,124,225,529,2228,439,TARRANT,439,2202228,8167,2895,2035,860,229,224,358,568,2340,1704,636,178,166,251,412,Taylor Rehmet,0.1236614853195164,57.46691871455577,42.53308128544423,14.933837429111534,0.2970639032815199
2246,1156,5,69,80,154,3,59,52,114,268,2246,439,TARRANT,439,2202246,8170,1405,1033,372,77,86,174,253,1173,903,270,52,66,129,191,Taylor Rehmet,0.12384341637010676,57.46268656716418,42.53731343283582,14.925373134328353,0.26476868327402137
2317,1283,4,57,81,142,2,39,47,88,230,2317,439,TARRANT,439,2202317,8196,1687,1043,644,161,148,316,452,1354,898,456,121,104,211,311,Taylor Rehmet,0.1873147599288678,61.73913043478261,38.26086956521739,23.47826086956522,0.3817427385892116
2655,1085,0,18,30,48,0,10,15,25,73,2655,439,TARRANT,439,2202655,8277,2343,783,1560,102,691,764,1429,1915,730,1185,80,535,547,1069,Taylor Rehmet,0.32607767819035427,65.75342465753424,34.24657534246575,31.506849315068486,0.6658130601792573
2656,97,0,6,1,7,0,2,2,4,11,2656,439,TARRANT,439,2202656,8278,411,131,280,11,83,182,259,312,107,205,8,71,125,193,Taylor Rehmet,0.44282238442822386,63.63636363636363,36.36363636363637,27.272727272727266,0.681265206812652
2657,35,0,0,1,1,0,0,0,0,1,2657,439,TARRANT,439,2202657,8279,102,22,80,2,55,20,74,80,21,59,1,46,11,56,Taylor Rehmet,0.19607843137254902,100.0,0.0,100.0,0.7843137254901961
2670,156,0,2,9,11,0,3,1,4,15,2670,439,TARRANT,439,2202670,8283,306,103,203,3,64,132,192,234,97,137,1,43,95,134,Taylor Rehmet,0.43137254901960786,73.33333333333333,26.666666666666668,46.66666666666666,0.6633986928104575
2743,15,0,0,2,2,0,0,0,0,2,2743,439,TARRANT,439,2202743,8298,30,8,22,5,0,13,13,23,8,15,5,0,6,6,Taylor Rehmet,0.43333333333333335,100.0,0.0,100.0,0.7333333333333333
2744,445,1,6,16,23,0,10,5,15,38,2744,439,TARRANT,439,2202744,8299,898,247,651,71,147,411,551,702,233,469,54,118,271,387,Taylor Rehmet,0.4576837416481069,60.526315789473685,39.473684210526315,21.05263157894737,0.7249443207126949
3032,1354,6,49,85,140,1,38,49,88,228,3032,439,TARRANT,439,2203032,8313,2230,1265,965,69,196,637,821,1758,1091,667,46,130,435,559,Taylor Rehmet,0.28565022421524666,61.40350877192983,38.59649122807017,22.807017543859658,0.4327354260089686
3039,1847,2,83,68,153,0,150,129,279,432,3039,439,TARRANT,439,2203039,8318,2355,1883,472,201,71,141,209,1741,1418,323,121,47,102,148,Leigh Wambsganss,0.05987261146496815,35.41666666666667,64.58333333333334,-29.16666666666667,0.20042462845010617
3040,3436,8,171,103,282,15,168,120,303,585,3040,439,TARRANT,439,2203040,8319,4932,3515,1417,357,268,644,891,3931,2934,997,232,176,457,628,Leigh Wambsganss,0.1305758313057583,48.205128205128204,51.7948717948718,-3.5897435897435983,0.2873073803730738
3041,4060,5,108,135,248,4,90,81,175,423,3041,439,TARRANT,439,2203041,8320,8156,3963,4193,441,1255,2309,3488,6173,3272,2901,335,831,1553,2346,Taylor Rehmet,0.2831044629720451,58.62884160756501,41.371158392434985,17.257683215130022,0.5141000490436488
3043,2351,2,59,88,149,3,79,87,169,318,3043,439,TARRANT,439,2203043,8321,1351,1051,300,20,28,210,233,1041,837,204,11,16,150,164,Leigh Wambsganss,0.15544041450777202,46.855345911949684,53.144654088050316,-6.289308176100633,0.22205773501110287
3049,3222,3,173,145,321,5,211,202,418,739,3049,439,TARRANT,439,2203049,8322,4034,3099,935,222,172,447,594,3131,2514,617,156,115,263,363,Leigh Wambsganss,0.11080813088745661,43.437077131258455,56.56292286874154,-13.125845737483083,0.23177987109568665
