Precinct,Registered_Voters,Absentee_TaylorRehmet,Early_TaylorRehmet,Election_TaylorRehmet,TotalVotes_TaylorRehmet,Absentee_LeighWambsganss,Early_LeighWambsganss,Election_LeighWambsganss,TotalVotes_LeighWambsganss,TotalVotesAll,VTD,CountyFIPS,County,CNTY,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap,Winner,Rehmet_Pct,Wambsganss_Pct,pct_hisp
1008,314,1,12,24,37,0,0,6,6,43,1008,439,TARRANT,439,2201008,7898,589,40,549,10,184,356,536,421,38,383,7,147,227,371,Taylor Rehmet,86.04651162790698,13.953488372093023,0.6044142614601019
1011,1134,3,19,45,67,0,2,3,5,72,1011,439,TARRANT,439,2201011,7901,3175,211,2964,60,492,2422,2891,2255,195,2060,51,370,1634,1999,Taylor Rehmet,93.05555555555556,6.944444444444445,0.7628346456692914
1015,1188,3,68,72,143,0,3,15,18,161,1015,439,TARRANT,439,2201015,7905,2077,699,1378,68,112,1173,1269,1687,623,1064,60,83,900,976,Taylor Rehmet,88.81987577639751,11.180124223602485,0.5647568608570053
1019,798,1,9,47,57,0,1,5,6,63,1019,439,TARRANT,439,2201019,7906,2162,265,1897,14,205,1669,1860,1524,224,1300,14,166,1110,1264,Taylor Rehmet,90.47619047619048,9.523809523809524,0.7719703977798335
1066,985,2,29,49,80,0,5,14,19,99,1066,439,TARRANT,439,2201066,7918,2444,511,1933,66,497,1369,1843,1776,452,1324,55,381,879,1244,Taylor Rehmet,80.8080808080808,19.19191919191919,0.5601472995090017
1075,1050,1,14,37,52,0,3,3,6,58,1075,439,TARRANT,439,2201075,7921,2626,260,2366,28,313,2021,2313,1859,219,1640,16,264,1364,1613,Taylor Rehmet,89.65517241379311,10.344827586206897,0.7696115765422696
1082,684,2,31,43,76,0,4,9,13,89,1082,439,TARRANT,439,2201082,7927,1633,349,1284,66,90,1116,1194,1200,290,910,51,46,789,834,Taylor Rehmet,85.39325842696628,14.606741573033707,0.683404776484997
1088,1357,1,18,50,69,0,9,6,15,84,1088,439,TARRANT,439,2201088,7931,3747,264,3483,36,456,2973,3411,2595,225,2370,28,341,1974,2306,Taylor Rehmet,82.14285714285714,17.857142857142858,0.7934347477982386
1109,1611,3,48,107,158,1,10,21,32,190,1109,439,TARRANT,439,2201109,7943,3437,668,2769,117,185,2431,2609,2598,608,1990,92,147,1716,1857,Taylor Rehmet,83.15789473684211,16.842105263157894,0.70730288041897
1198,595,0,10,27,37,0,0,8,8,45,1198,439,TARRANT,439,2201198,7968,1507,295,1212,73,54,1073,1125,1071,250,821,53,32,725,755,Taylor Rehmet,82.22222222222221,17.77777777777778,0.7120106171201062
1408,284,0,6,15,21,0,0,3,3,24,1408,439,TARRANT,439,2201408,8020,372,128,244,7,15,204,219,311,113,198,5,12,169,181,Taylor Rehmet,87.5,12.5,0.5483870967741935
1415,1760,1,25,68,94,1,4,16,21,115,1415,439,TARRANT,439,2201415,8023,5020,545,4475,116,1609,2735,4283,3461,482,2979,85,1127,1713,2823,Taylor Rehmet,81.73913043478261,18.26086956521739,0.5448207171314741
1473,355,0,7,16,23,0,4,1,5,28,1473,439,TARRANT,439,2201473,8046,382,73,309,7,6,293,298,260,59,201,6,4,189,192,Taylor Rehmet,82.14285714285714,17.857142857142858,0.7670157068062827
1476,150,0,4,10,14,0,0,0,0,14,1476,439,TARRANT,439,2201476,8047,360,61,299,4,16,282,294,247,57,190,2,12,175,185,Taylor Rehmet,100.0,0.0,0.7833333333333333
1479,277,0,8,10,18,0,2,1,3,21,1479,439,TARRANT,439,2201479,8049,507,69,438,10,87,341,420,368,62,306,10,77,217,289,Taylor Rehmet,85.71428571428571,14.285714285714285,0.6725838264299803
1544,11,0,0,0,0,0,0,0,0,0,1544,439,TARRANT,439,2201544,8061,26,5,21,0,0,20,20,23,5,18,0,0,17,17,Tie,0,0,0.7692307692307693
1550,40,0,2,0,2,0,0,0,0,2,1550,439,TARRANT,439,2201550,8064,73,3,70,1,22,47,69,45,3,42,0,16,25,41,Taylor Rehmet,100.0,0.0,0.6438356164383562
1611,21,0,1,1,2,0,0,2,2,4,1611,439,TARRANT,439,2201611,8080,36,9,27,0,0,27,27,26,4,22,0,0,22,22,Tie,50.0,50.0,0.75
1617,40,0,2,3,5,0,0,2,2,7,1617,439,TARRANT,439,2201617,8081,88,28,60,0,3,48,51,68,26,42,0,2,31,33,Taylor Rehmet,71.42857142857143,28.57142857142857,0.5454545454545454
1633,31,0,0,4,4,0,0,2,2,6,1633,439,TARRANT,439,2201633,8089,75,31,44,0,0,41,41,66,28,38,0,0,38,38,Taylor Rehmet,66.66666666666666,33.33333333333333,0.5466666666666666
1678,13,0,0,1,1,0,0,0,0,1,1678,439,TARRANT,439,2201678,8099,76,13,63,5,11,49,58,50,12,38,2,8,29,35,Taylor Rehmet,100.0,0.0,0.6447368421052632
2148,2802,3,48,57,108,1,11,24,36,144,2148,439,TARRANT,439,2202148,8146,8712,1268,7444,355,1679,5416,7010,6220,1110,5110,303,1239,3549,4758,Taylor Rehmet,75.0,25.0,0.6216712580348944
2190,331,0,7,12,19,0,11,10,21,40,2190,439,TARRANT,439,2202190,8156,613,211,402,16,59,314,371,480,193,287,16,42,218,258,Leigh Wambsganss,47.5,52.5,0.5122349102773246
3409,53,0,0,0,0,0,0,0,0,0,3409,439,TARRANT,439,2203409,8399,201,50,151,6,11,130,140,144,45,99,2,6,85,90,Tie,0,0,0.6467661691542289
4017,3400,7,36,191,234,1,3,21,25,259,4017,439,TARRANT,439,2204017,8485,9380,892,8488,247,1458,6769,8153,6273,682,5591,134,880,4537,5384,Taylor Rehmet,90.34749034749035,9.652509652509652,0.7216417910447761
4042,1438,1,26,44,71,0,20,31,51,122,4042,439,TARRANT,439,2204042,8488,3466,1038,2428,359,206,1817,1999,2499,865,1634,293,110,1191,1286,Taylor Rehmet,58.19672131147541,41.80327868852459,0.5242354298903635
4048,798,4,8,44,56,0,3,4,7,63,4048,439,TARRANT,439,2204048,8493,2135,139,1996,26,123,1857,1958,1548,121,1427,12,85,1329,1403,Taylor Rehmet,88.88888888888889,11.11111111111111,0.8697892271662764
4050,1740,2,27,89,118,2,2,9,13,131,4050,439,TARRANT,439,2204050,8494,4648,365,4283,43,765,3509,4238,3108,264,2844,28,499,2320,2809,Taylor Rehmet,90.07633587786259,9.923664122137405,0.7549483648881239
4051,14,0,0,0,0,0,0,0,0,0,4051,439,TARRANT,439,2204051,8495,23,5,18,1,2,13,15,12,5,7,0,2,2,4,Tie,0,0,0.5652173913043478
4067,1352,7,40,93,140,0,3,16,19,159,4067,439,TARRANT,439,2204067,8500,3006,192,2814,17,53,2742,2782,2289,155,2134,10,45,2080,2114,Taylor Rehmet,88.0503144654088,11.949685534591195,0.9121756487025948
4068,1451,4,29,76,109,0,4,4,8,117,4068,439,TARRANT,439,2204068,8501,3900,199,3701,37,126,3567,3667,2807,171,2636,24,84,2548,2616,Taylor Rehmet,93.16239316239316,6.837606837606838,0.9146153846153846
4087,584,1,10,49,60,0,0,3,3,63,4087,439,TARRANT,439,2204087,8507,1503,106,1397,6,34,1358,1383,1087,88,999,4,28,966,990,Taylor Rehmet,95.23809523809523,4.761904761904762,0.9035262807717898
4092,1007,4,22,48,74,0,0,3,3,77,4092,439,TARRANT,439,2204092,8509,2798,126,2672,13,44,2617,2650,2029,105,1924,9,31,1886,1910,Taylor Rehmet,96.1038961038961,3.896103896103896,0.9353109363831308
4093,2046,7,34,107,148,0,1,8,9,157,4093,439,TARRANT,439,2204093,8510,5273,317,4956,22,122,4816,4896,3667,273,3394,13,75,3296,3347,Taylor Rehmet,94.26751592356688,5.7324840764331215,0.9133320690309122
4101,1444,5,52,102,159,0,14,28,42,201,4101,439,TARRANT,439,2204101,8513,3357,640,2717,353,86,2242,2325,2422,527,1895,296,52,1510,1560,Taylor Rehmet,79.1044776119403,20.8955223880597,0.6678582067322014
4102,1254,1,23,36,60,0,6,28,34,94,4102,439,TARRANT,439,2204102,8514,3520,902,2618,215,105,2254,2338,2432,746,1686,151,56,1418,1471,Taylor Rehmet,63.829787234042556,36.17021276595745,0.6403409090909091
4110,996,7,28,110,145,0,1,12,13,158,4110,439,TARRANT,439,2204110,8516,2063,200,1863,15,23,1837,1850,1525,166,1359,8,17,1337,1348,Taylor Rehmet,91.77215189873418,8.227848101265822,0.8904507998061076
4121,2618,3,70,122,195,2,44,66,112,307,4121,439,TARRANT,439,2204121,8521,4742,2067,2675,63,115,2434,2520,3595,1788,1807,52,68,1624,1680,Taylor Rehmet,63.51791530944625,36.48208469055375,0.513285533530156
4122,2005,7,40,104,151,2,6,14,22,173,4122,439,TARRANT,439,2204122,8522,5837,448,5389,21,145,5196,5311,4006,378,3628,19,87,3493,3569,Taylor Rehmet,87.28323699421965,12.716763005780345,0.8901833133458968
4123,2084,1,23,117,141,0,3,10,13,154,4123,439,TARRANT,439,2204123,8523,5406,290,5116,27,86,5013,5079,3798,242,3556,17,61,3477,3525,Taylor Rehmet,91.55844155844156,8.441558441558442,0.9273029966703663
4125,691,3,11,19,33,0,7,10,17,50,4125,439,TARRANT,439,2204125,8525,1759,538,1221,12,68,1127,1185,1256,433,823,6,54,739,793,Taylor Rehmet,66.0,34.0,0.640704945992041
4138,1160,1,8,42,51,0,20,17,37,88,4138,439,TARRANT,439,2204138,8532,2734,773,1961,25,51,1850,1887,1943,661,1282,16,27,1206,1226,Taylor Rehmet,57.95454545454546,42.04545454545455,0.6766642282370153
4159,2043,0,17,80,97,2,18,55,75,172,4159,439,TARRANT,439,2204159,8536,4182,1255,2927,531,99,2240,2321,3038,1040,1998,438,67,1437,1493,Taylor Rehmet,56.395348837209305,43.604651162790695,0.5356288857006217
4162,707,0,22,30,52,3,5,4,12,64,4162,439,TARRANT,439,2204162,8537,1948,310,1638,140,109,1387,1486,1317,252,1065,113,46,903,941,Taylor Rehmet,81.25,18.75,0.7120123203285421
4202,1958,3,41,105,149,1,18,27,46,195,4202,439,TARRANT,439,2204202,8545,3950,1169,2781,42,73,2624,2687,2896,1002,1894,32,43,1776,1816,Taylor Rehmet,76.41025641025641,23.589743589743588,0.6643037974683544
4218,1506,3,19,63,85,0,22,36,58,143,4218,439,TARRANT,439,2204218,8548,3322,913,2409,256,48,2085,2125,2424,806,1618,213,37,1349,1382,Taylor Rehmet,59.44055944055944,40.55944055944056,0.627633955448525
4222,1276,3,18,59,80,3,13,18,34,114,4222,439,TARRANT,439,2204222,8549,2420,766,1654,44,99,1479,1560,1760,649,1111,31,57,996,1044,Taylor Rehmet,70.17543859649122,29.82456140350877,0.6111570247933884
4231,1649,3,31,117,151,0,5,11,16,167,4231,439,TARRANT,439,2204231,8551,4744,255,4489,47,288,4152,4410,3201,216,2985,20,161,2793,2938,Taylor Rehmet,90.41916167664671,9.580838323353294,0.8752107925801011
4245,198,0,3,6,9,0,0,0,0,9,4245,439,TARRANT,439,2204245A,8558,530,32,498,11,76,416,477,347,25,322,7,47,265,305,Taylor Rehmet,100.0,0.0,0.7849056603773585
4312,137,0,7,12,19,0,5,5,10,29,4312,439,TARRANT,439,2204312,8572,237,85,152,0,12,132,144,190,74,116,0,10,100,110,Taylor Rehmet,65.51724137931035,34.48275862068966,0.5569620253164557
4397,427,2,17,27,46,0,14,7,21,67,4397,439,TARRANT,439,2204397,8588,833,340,493,8,23,445,463,647,316,331,8,18,284,301,Taylor Rehmet,68.65671641791045,31.343283582089555,0.5342136854741897
4400,380,0,4,18,22,0,6,8,14,36,4400,439,TARRANT,439,2204400,8590,873,376,497,8,25,453,473,671,333,338,4,16,306,319,Taylor Rehmet,61.111111111111114,38.88888888888889,0.5189003436426117
4483,54,0,2,2,4,0,0,0,0,4,4483,439,TARRANT,439,2204483,8601,138,23,115,4,2,110,111,110,20,90,3,1,85,86,Taylor Rehmet,100.0,0.0,0.7971014492753623
4485,502,0,4,19,23,0,3,9,12,35,4485,439,TARRANT,439,2204485,8602,1686,276,1410,57,23,1304,1324,1125,240,885,37,15,809,824,Taylor Rehmet,65.71428571428571,34.285714285714285,0.7734282325029656
4503,1108,0,35,72,107,0,10,12,22,129,4503,439,TARRANT,439,2204503,8612,2626,478,2148,54,70,1996,2060,1895,407,1488,43,58,1364,1419,Taylor Rehmet,82.94573643410853,17.05426356589147,0.7600913937547601
4533,1638,2,70,54,126,0,34,60,94,220,4533,439,TARRANT,439,2204533,8618,3497,1189,2308,268,208,1781,1968,2486,986,1500,203,123,1130,1243,Taylor Rehmet,57.27272727272727,42.72727272727273,0.5092936802973977
4565,39,0,0,0,0,0,1,1,2,2,4565,439,TARRANT,439,2204565,8623,96,32,64,0,0,60,60,75,26,49,0,0,45,45,Leigh Wambsganss,0.0,100.0,0.625
4572,46,0,2,7,9,0,1,1,2,11,4572,439,TARRANT,439,2204572,8625,63,2,61,1,26,34,59,41,2,39,0,15,24,39,Taylor Rehmet,81.81818181818183,18.181818181818183,0.5396825396825397
4593,930,0,5,37,42,1,2,2,5,47,4593,439,TARRANT,439,2204593,8631,1769,394,1375,29,205,1130,1327,1244,336,908,22,154,723,870,Taylor Rehmet,89.36170212765957,10.638297872340425,0.6387789711701526
4595,102,0,0,0,0,0,1,2,3,3,4595,439,TARRANT,439,2204595,8632,220,72,148,1,3,142,145,154,54,100,0,3,95,98,Leigh Wambsganss,0.0,100.0,0.6454545454545455
4596,159,0,9,9,18,0,1,0,1,19,4596,439,TARRANT,439,2204596,8633,295,32,263,77,3,177,180,211,28,183,65,1,114,115,Taylor Rehmet,94.73684210526315,5.263157894736842,0.6
4620,81,0,2,0,2,0,0,0,0,2,4620,439,TARRANT,439,2204620,8638,545,111,434,10,44,370,412,364,85,279,9,32,233,263,Taylor Rehmet,100.0,0.0,0.6788990825688074
4682,439,1,11,16,28,2,5,1,8,36,4682,439,TARRANT,439,2204682,8648,1009,148,861,43,22,798,819,720,141,579,40,7,532,539,Taylor Rehmet,77.77777777777779,22.22222222222222,0.7908820614469773
4685,6,0,0,2,2,0,0,0,0,2,4685,439,TARRANT,439,2204685,8650,18,1,17,1,5,13,17,8,1,7,0,2,5,7,Taylor Rehmet,100.0,0.0,0.7222222222222222
4687,260,0,8,9,17,1,0,0,1,18,4687,439,TARRANT,439,2204687,8652,717,147,570,3,11,557,563,514,114,400,2,3,392,394,Taylor Rehmet,94.44444444444444,5.555555555555555,0.7768479776847977
4689,173,0,7,5,12,1,3,4,8,20,4689,439,TARRANT,439,2204689,8653,328,103,225,5,5,216,220,247,96,151,5,5,142,146,Taylor Rehmet,60.0,40.0,0.6585365853658537
